strategy,side,entry_time,entry_price,exit_time,exit_price,bars_held,gross_pnl,fee,net_pnl,return_pct,exit_reason,partial
sfp,1,2026-07-01 00:28:00+00:00,58351.534569999996,2026-07-01 00:31:00+00:00,58499.599454999996,3,1.268731714522242,0.4,0.8687317145222421,0.2537463429044484,tp,False
sfp,-1,2026-07-01 00:54:00+00:00,58557.74364,2026-07-01 01:01:00+00:00,58496.499065,7,0.5229417254916102,0.4,0.1229417254916102,0.10458834509832204,tp,False
sfp,1,2026-07-01 01:10:00+00:00,58272.02662,2026-07-01 01:10:00+00:00,58188.53936412,0,-0.7163579226824313,0.4,-1.1163579226824312,-0.14327158453648625,sl,False
sfp,1,2026-07-01 01:14:00+00:00,58077.90721,2026-07-01 01:15:00+00:00,58193.68005,1,0.9967029251019,0.4,0.5967029251018999,0.19934058502038,tp,False
sfp,-1,2026-07-01 01:32:00+00:00,58426.65675,2026-07-01 01:32:00+00:00,58481.440339278,0,-0.468823584347855,0.4,-0.868823584347855,-0.093764716869571,sl,False
sfp,-1,2026-07-01 01:34:00+00:00,58431.95622,2026-07-01 01:38:00+00:00,58558.463440818,4,-1.082517418565354,0.4,-1.482517418565354,-0.21650348371307082,sl,False
sfp,-1,2026-07-01 01:42:00+00:00,58794.12,2026-07-01 02:23:00+00:00,58998.69547961999,41,-1.7397613878733509,0.4,-2.139761387873351,-0.3479522775746702,sl,False
sfp,-1,2026-07-01 02:25:00+00:00,58894.209989999996,2026-07-01 02:28:00+00:00,58971.687379079995,3,-0.6577674536525357,0.4,-1.0577674536525357,-0.13155349073050715,sl,False
sfp,-1,2026-07-01 02:32:00+00:00,58916.70774,2026-07-01 02:42:00+00:00,59067.816211002,10,-1.2823906562196008,0.4,-1.6823906562196007,-0.25647813124392016,sl,False
sfp,1,2026-07-01 03:13:00+00:00,59009.50036,2026-07-01 03:16:00+00:00,58947.71155930801,3,-0.5235496006154583,0.4,-0.9235496006154583,-0.10470992012309166,sl,False
sfp,1,2026-07-01 03:19:00+00:00,58902.68968,2026-07-01 03:23:00+00:00,58857.238707498,4,-0.38581406680171515,0.4,-0.7858140668017152,-0.07716281336034303,sl,False
sfp,1,2026-07-01 03:33:00+00:00,58859.68538,2026-07-01 03:35:00+00:00,58918.80753,2,0.5022295788560394,0.4,0.10222957885603934,0.10044591577120787,tp,False
sfp,-1,2026-07-01 03:39:00+00:00,58973.70204,2026-07-01 03:43:00+00:00,58908.840294999995,4,0.5499209203113087,0.4,0.14992092031130866,0.10998418406226174,tp,False
sfp,-1,2026-07-01 04:20:00+00:00,59164.083,2026-07-01 04:22:00+00:00,59202.056473685996,2,-0.32091660818944767,0.4,-0.7209166081894477,-0.06418332163788953,sl,False
sfp,-1,2026-07-01 04:25:00+00:00,59177.38167,2026-07-01 04:27:00+00:00,59249.870814642,2,-0.6124734028132295,0.4,-1.0124734028132294,-0.1224946805626459,sl,False
sfp,-1,2026-07-01 04:32:00+00:00,59233.97601,2026-07-01 04:41:00+00:00,59287.7821854,9,-0.45418338447278384,0.4,-0.8541833844727839,-0.09083667689455677,sl,False
sfp,-1,2026-07-01 04:44:00+00:00,59298.56955,2026-07-01 04:45:00+00:00,59360.203906848,1,-0.5196951403357852,0.4,-0.9196951403357853,-0.10393902806715705,sl,False
sfp,-1,2026-07-01 04:47:00+00:00,59371.46226,2026-07-01 04:53:00+00:00,59291.378545,6,0.6744293634650123,0.4,0.27442936346501223,0.13488587269300245,tp,False
sfp,1,2026-07-01 05:11:00+00:00,59256.02501,2026-07-01 05:12:00+00:00,59212.332154602,1,-0.3686785891445221,0.4,-0.7686785891445221,-0.07373571782890442,sl,False
sfp,1,2026-07-01 05:13:00+00:00,59248.824290000004,2026-07-01 05:16:00+00:00,59284.27098,3,0.29913412143423024,0.4,-0.10086587856576978,0.05982682428684605,tp,False
sfp,1,2026-07-01 05:23:00+00:00,59196.11902,2026-07-01 05:25:00+00:00,59259.023505,2,0.5313227120408159,0.4,0.13132271204081591,0.10626454240816319,tp,False
sfp,1,2026-07-01 06:03:00+00:00,59072.10662,2026-07-01 06:04:00+00:00,59007.393650502,1,-0.5477455706318635,0.4,-0.9477455706318635,-0.1095491141263727,sl,False
sfp,1,2026-07-01 06:11:00+00:00,58935.893,2026-07-01 06:12:00+00:00,58890.928598172,1,-0.3814687411964335,0.4,-0.7814687411964335,-0.0762937482392867,sl,False
sfp,1,2026-07-01 06:13:00+00:00,58920.59147,2026-07-01 06:19:00+00:00,58863.33687762,6,-0.4858623356585601,0.4,-0.8858623356585601,-0.09717246713171201,sl,False
sfp,1,2026-07-01 06:24:00+00:00,58715.17093,2026-07-01 06:34:00+00:00,58637.704583106,10,-0.6596791397094903,0.4,-1.0596791397094902,-0.13193582794189807,sl,False
sfp,1,2026-07-01 06:36:00+00:00,58674.8669,2026-07-01 06:36:00+00:00,58603.014992412,0,-0.6122886287109885,0.4,-1.0122886287109885,-0.12245772574219771,sl,False
sfp,1,2026-07-01 06:39:00+00:00,58565.956009999994,2026-07-01 06:51:00+00:00,58701.42927,12,1.1565871133126793,0.4,0.7565871133126792,0.23131742266253585,tp,False
sfp,-1,2026-07-01 07:01:00+00:00,58701.929220000005,2026-07-01 07:03:00+00:00,58673.316745,2,0.24370983526605938,0.4,-0.15629016473394064,0.048741967053211877,tp,False
sfp,1,2026-07-01 07:09:00+00:00,58645.16393,2026-07-01 07:16:00+00:00,58669.532459999995,7,0.20776248514775553,0.4,-0.1922375148522445,0.041552497029551105,tp,False
sfp,-1,2026-07-01 07:26:00+00:00,58774.62195,2026-07-01 07:30:00+00:00,58681.06752,4,0.795874366317395,0.4,0.39587436631739503,0.159174873263479,tp,False
sfp,-1,2026-07-01 07:51:00+00:00,58720.52736,2026-07-01 08:01:00+00:00,58684.36785,10,0.30789496983152365,0.4,-0.09210503016847638,0.06157899396630473,tp,False
sfp,1,2026-07-01 08:03:00+00:00,58693.468759999996,2026-07-01 08:03:00+00:00,58702.22919,0,0.07462866128959966,0.4,-0.32537133871040036,0.014925732257919933,tp,False
sfp,-1,2026-07-01 08:08:00+00:00,58730.72634,2026-07-01 08:09:00+00:00,58709.220335,1,0.18308989467880066,0.4,-0.21691010532119936,0.03661797893576013,tp,False
sfp,1,2026-07-01 08:26:00+00:00,58591.45856,2026-07-01 08:33:00+00:00,58550.530741361996,7,-0.349264377811076,0.4,-0.749264377811076,-0.0698528755622152,sl,False
sfp,-1,2026-07-01 08:46:00+00:00,58694.92992,2026-07-01 08:51:00+00:00,58740.61807446,5,-0.38920017897858816,0.4,-0.7892001789785882,-0.07784003579571763,sl,False
sfp,-1,2026-07-01 09:01:00+00:00,58884.81093,2026-07-01 09:02:00+00:00,58967.286058991995,1,-0.7003090244277477,0.4,-1.1003090244277476,-0.14006180488554953,sl,False
sfp,-1,2026-07-01 09:08:00+00:00,58998.899520000006,2026-07-01 09:29:00+00:00,58847.38415,21,1.284052509730682,0.4,0.8840525097306821,0.2568105019461364,tp,False
sfp,1,2026-07-01 09:30:00+00:00,58875.18693,2026-07-01 09:41:00+00:00,58823.64878682601,11,-0.4376898474672264,0.4,-0.8376898474672264,-0.08753796949344528,sl,False
sfp,1,2026-07-01 09:42:00+00:00,58856.585069999994,2026-07-01 09:45:00+00:00,58877.71164,3,0.1794749897133796,0.4,-0.22052501028662042,0.03589499794267592,tp,False
sfp,-1,2026-07-01 09:57:00+00:00,58906.20879,2026-07-01 10:00:00+00:00,58868.28624,3,0.32188924375686767,0.4,-0.07811075624313235,0.06437784875137353,tp,False
sfp,1,2026-07-01 10:14:00+00:00,58770.07642,2026-07-01 10:15:00+00:00,58710.482744561996,1,-0.507006958882561,0.4,-0.907006958882561,-0.1014013917765122,sl,False
sfp,1,2026-07-01 10:26:00+00:00,58672.26664,2026-07-01 10:43:00+00:00,58616.41097268,17,-0.47599718332613783,0.4,-0.8759971833261379,-0.09519943666522757,sl,False
sfp,1,2026-07-01 10:46:00+00:00,58640.76349,2026-07-01 11:00:00+00:00,58582.421172,14,-0.4974553069209686,0.4,-0.8974553069209686,-0.09949106138419372,sl,False
sfp,1,2026-07-01 11:01:00+00:00,58615.060919999996,2026-07-01 11:03:00+00:00,58639.585455,2,0.2091999446479642,0.4,-0.1908000553520358,0.04183998892959284,tp,False
sfp,-1,2026-07-01 11:12:00+00:00,58676.531760000005,2026-07-01 11:18:00+00:00,58737.317084393995,6,-0.5179696428089242,0.4,-0.9179696428089242,-0.10359392856178484,sl,False
sfp,-1,2026-07-01 11:19:00+00:00,58713.528060000004,2026-07-01 11:34:00+00:00,58645.713984999995,15,0.5774995749762146,0.4,0.1774995749762146,0.11549991499524292,tp,False
sfp,1,2026-07-01 11:36:00+00:00,58698.66928,2026-07-01 11:36:00+00:00,58685.880825,0,-0.1089330913022768,0.4,-0.5089330913022768,-0.02178661826045536,tp,False
sfp,1,2026-07-01 11:37:00+00:00,58718.17123,2026-07-01 11:37:00+00:00,58681.481265,0,-0.3124242822233336,0.4,-0.7124242822233336,-0.062484856444666725,tp,False
sfp,1,2026-07-01 11:56:00+00:00,58567.056119999994,2026-07-01 11:56:00+00:00,58532.536141002,0,-0.29470474772769206,0.4,-0.6947047477276921,-0.05894094954553841,sl,False
sfp,1,2026-07-01 11:57:00+00:00,58556.05502,2026-07-01 12:00:00+00:00,58625.336879999995,3,0.5915857888336706,0.4,0.1915857888336706,0.11831715776673413,tp,False
sfp,1,2026-07-01 12:14:00+00:00,58429.8424,2026-07-01 12:15:00+00:00,58525.64685,1,0.8198246483718252,0.4,0.4198246483718252,0.16396492967436505,tp,False
sfp,1,2026-07-01 12:41:00+00:00,58391.8386,2026-07-01 12:47:00+00:00,58333.695807024,6,-0.4978674620463308,0.4,-0.8978674620463308,-0.09957349240926616,sl,False
sfp,1,2026-07-01 12:50:00+00:00,58338.93331,2026-07-01 12:55:00+00:00,58431.75624,5,0.7955487419247786,0.4,0.3955487419247786,0.15910974838495573,tp,False
sfp,-1,2026-07-01 13:04:00+00:00,58600.63935,2026-07-01 13:21:00+00:00,58756.522844777995,17,-1.3300494372336935,0.4,-1.7300494372336934,-0.2660098874467387,sl,False
sfp,-1,2026-07-01 13:24:00+00:00,58811.31828,2026-07-01 13:25:00+00:00,58728.072219999995,1,0.7077384288826094,0.4,0.3077384288826094,0.14154768577652188,tp,False
sfp,1,2026-07-01 13:31:00+00:00,58759.77539,2026-07-01 13:31:00+00:00,58728.726539999996,0,-0.26420157151663126,0.4,-0.6642015715166313,-0.05284031430332625,tp,False
sfp,-1,2026-07-01 13:38:00+00:00,58849.01451,2026-07-01 13:40:00+00:00,58959.983868846,2,-0.9428310717687349,0.4,-1.3428310717687348,-0.18856621435374699,sl,False
sfp,-1,2026-07-01 13:42:00+00:00,58964.40297,2026-07-01 13:45:00+00:00,59068.71648102,3,-0.8845464870819164,0.4,-1.2845464870819163,-0.17690929741638328,sl,False
sfp,-1,2026-07-01 13:48:00+00:00,59191.18029,2026-07-01 13:48:00+00:00,59261.274234870005,0,-0.5920978811927435,0.4,-0.9920978811927436,-0.11841957623854871,sl,False
sfp,-1,2026-07-01 13:50:00+00:00,59294.07,2026-07-01 13:52:00+00:00,59403.716957717996,2,-0.924603065011409,0.4,-1.324603065011409,-0.1849206130022818,sl,False
sfp,-1,2026-07-01 13:54:00+00:00,59333.86602,2026-07-01 13:59:00+00:00,59475.83858916,5,-1.196387313715075,0.4,-1.5963873137150748,-0.23927746274301498,sl,False
sfp,-1,2026-07-01 14:01:00+00:00,59358.76353,2026-07-01 14:10:00+00:00,59504.54719973399,9,-1.227987756688309,0.4,-1.627987756688309,-0.2455975513376618,sl,False
