strategy,side,entry_time,entry_price,exit_time,exit_price,bars_held,gross_pnl,fee,net_pnl,return_pct,exit_reason,partial
bollinger_reentry,1,2026-07-01 00:24:00+00:00,58425.842,2026-07-01 00:25:00+00:00,58357.830632254176,1,-0.582031558448215,0.4,-0.982031558448215,-0.116406311689643,sl,False
bollinger_reentry,1,2026-07-01 00:28:00+00:00,58351.534569999996,2026-07-01 00:31:00+00:00,58514.2729875,3,1.3944656185929105,0.4,0.9944656185929105,0.2788931237185821,tp,False
bollinger_reentry,1,2026-07-01 01:10:00+00:00,58272.02662,2026-07-01 01:10:00+00:00,58208.36179344059,0,-0.5462726307304266,0.4,-0.9462726307304267,-0.10925452614608533,sl,False
bollinger_reentry,1,2026-07-01 01:12:00+00:00,58121.01152,2026-07-01 01:12:00+00:00,58045.55997975235,0,-0.6490900474236394,0.4,-1.0490900474236393,-0.12981800948472788,sl,False
bollinger_reentry,-1,2026-07-01 01:43:00+00:00,58789.22049,2026-07-01 01:43:00+00:00,58912.0427797577,0,-1.0445987268924428,0.4,-1.4445987268924427,-0.20891974537848856,sl,False
bollinger_reentry,-1,2026-07-01 01:45:00+00:00,58866.21279,2026-07-01 01:45:00+00:00,58988.77081688291,0,-1.0409878695621932,0.4,-1.4409878695621932,-0.20819757391243865,sl,False
bollinger_reentry,-1,2026-07-01 03:57:00+00:00,59194.08,2026-07-01 04:31:00+00:00,59263.26510561774,34,-0.5843921015221687,0.4,-0.9843921015221687,-0.11687842030443374,sl,False
bollinger_reentry,1,2026-07-01 06:07:00+00:00,59001.29954,2026-07-01 06:08:00+00:00,58958.9114784914,1,-0.3592129481814754,0.4,-0.7592129481814754,-0.07184258963629508,sl,False
bollinger_reentry,1,2026-07-01 06:11:00+00:00,58935.893,2026-07-01 06:12:00+00:00,58892.6050204944,1,-0.3672463188569841,0.4,-0.7672463188569841,-0.07344926377139682,sl,False
bollinger_reentry,1,2026-07-01 06:24:00+00:00,58715.17093,2026-07-01 06:34:00+00:00,58658.38137266833,10,-0.4836020778971606,0.4,-0.8836020778971606,-0.09672041557943212,sl,False
bollinger_reentry,1,2026-07-01 12:09:00+00:00,58467.64618,2026-07-01 12:10:00+00:00,58550.07440700001,1,0.7049046129395942,0.4,0.30490461293959414,0.14098092258791883,tp,False
bollinger_reentry,-1,2026-07-01 13:50:00+00:00,59294.07,2026-07-01 13:53:00+00:00,59420.859643039395,3,-1.0691595554108702,0.4,-1.46915955541087,-0.21383191108217403,sl,False
bollinger_reentry,-1,2026-07-01 14:16:00+00:00,59867.712629999995,2026-07-01 14:17:00+00:00,59991.660592625994,1,-1.035182047057992,0.4,-1.435182047057992,-0.2070364094115984,sl,False
bollinger_reentry,-1,2026-07-01 15:26:00+00:00,60374.26197000001,2026-07-01 16:22:00+00:00,59980.36743700001,56,3.262106402192766,0.4,2.862106402192766,0.6524212804385532,tp,False
bollinger_reentry,-1,2026-07-01 17:25:00+00:00,60128.9865,2026-07-01 17:37:00+00:00,60192.67551274531,12,-0.5296032450614607,0.4,-0.9296032450614607,-0.10592064901229215,sl,False
bollinger_reentry,1,2026-07-01 20:03:00+00:00,59930.29243,2026-07-01 20:05:00+00:00,59873.99546397531,2,-0.46968706260230864,0.4,-0.8696870626023087,-0.09393741252046173,sl,False
bollinger_reentry,-1,2026-07-01 21:08:00+00:00,60206.07879,2026-07-01 21:10:00+00:00,60249.57739300013,2,-0.3612476005276921,0.4,-0.7612476005276921,-0.07224952010553842,sl,False
