side,entry_time,entry_price,exit_time,exit_price,bars_held,notional,gross_pnl,fee,net_pnl,return_pct,exit_reason,equity_after
1,2021-08-06 06:18:00+00:00,41192.31881999999,2021-08-06 06:27:00+00:00,41029.39152582934,9,1500.0,-5.932925075762318,1.2,-7.132925075762318,-0.3955283383841546,sl,92.86707492423768
1,2021-08-06 12:13:00+00:00,40882.297821,2021-08-06 12:15:00+00:00,40716.36953851848,2,1393.0061238635653,-5.6537701141690055,1.1144048990908524,-6.768175013259858,-0.4058682885390352,sl,86.09889991097782
1,2021-08-06 15:18:00+00:00,41381.647751000004,2021-08-06 15:58:00+00:00,41833.338710969285,40,1291.4834986646674,14.096863054038954,1.033186798931734,13.06367625510722,1.0915248292846513,sl,99.16257616608505
1,2021-08-07 12:06:00+00:00,44184.678026,2021-08-07 12:40:00+00:00,44102.74968363147,34,1487.4386424912757,-2.758046177964679,1.1899509139930207,-3.9479970919577,-0.18542251755307992,sl,95.21457907412734
1,2021-08-07 16:47:00+00:00,43684.378001000005,2021-08-07 17:16:00+00:00,43407.395792977,29,1428.21868611191,-9.055666655250091,1.142574948889528,-10.19824160413962,-0.6340532261136178,sl,85.01633746998772
1,2021-08-07 19:59:00+00:00,43958.095369999995,2021-08-07 20:04:00+00:00,43813.31903267454,5,1275.2450620498157,-4.200029772034817,1.0201960496398526,-5.22022582167467,-0.32935079672323786,sl,79.79611164831304
1,2021-08-08 00:14:00+00:00,44797.949347,2021-08-08 00:15:00+00:00,44594.28839794915,1,1196.9416747246958,-5.441549914366123,0.9575533397797567,-6.39910325414588,-0.45462114230567785,sl,73.39700839416716
1,2021-08-08 06:27:00+00:00,45114.631012000005,2021-08-08 06:29:00+00:00,44942.07227636919,2,1100.9551259125074,-4.211037977085491,0.8807641007300059,-5.091802077815497,-0.38248952005153214,sl,68.30520631635166
1,2021-08-08 20:17:00+00:00,44199.339492,2021-08-08 20:22:00+00:00,43985.836852576605,5,1024.578094745275,-4.949171866314958,0.81966247579622,-5.7688343421111785,-0.4830448641931384,sl,62.53637197424048
-1,2021-08-09 00:07:00+00:00,43567.752789,2021-08-09 01:33:00+00:00,43167.52662007197,86,938.0455796136072,8.617162111317647,0.7504364636908858,7.866725647626762,0.9186293607254314,sl,70.40309762186725
