start,end,bars,final,peak,mult_final,mult_peak,hit_10000x,trades,pf,mdd,liq,bars_to_target
2021-08-04 00:00:00+00:00,2021-10-03 00:00:00+00:00,86401,0.517064299320519,100.0,0.0051706429932051904,1.0,False,148,0.32445921503198977,-99.49405205823535,0,-1.0
2021-09-03 00:00:00+00:00,2021-11-02 00:00:00+00:00,86401,0.0033170955352898853,100.0,3.317095535289885e-05,1.0,False,154,0.2273242631062166,-99.99838044151495,1,-1.0
2021-10-03 00:00:00+00:00,2021-12-02 00:00:00+00:00,86401,0.0029614628320429126,100.0,2.9614628320429128e-05,1.0,False,152,0.2773649423941906,-99.99703853716795,1,-1.0
2021-11-02 00:00:00+00:00,2022-01-01 00:00:00+00:00,86401,0.030209469886199696,125.07856108609664,0.00030209469886199696,1.2507856108609665,False,167,0.44760525912870897,-99.975847603599,0,-1.0
2021-12-02 00:00:00+00:00,2022-01-31 00:00:00+00:00,86401,0.016265327471304995,133.10118773684587,0.00016265327471304996,1.3310118773684587,False,183,0.384424831356492,-99.98777972777863,0,-1.0
2022-01-01 00:00:00+00:00,2022-03-02 00:00:00+00:00,86401,0.6215166237131367,100.0,0.006215166237131367,1.0,False,182,0.1748859346418158,-99.70072424342375,0,-1.0
2022-01-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,86401,1.1443045136091299,213.24772603454224,0.011443045136091299,2.1324772603454223,False,176,0.7945393014196259,-99.46339192689737,0,-1.0
2022-03-02 00:00:00+00:00,2022-05-01 00:00:00+00:00,86401,0.22056014242564922,134.0307247088164,0.002205601424256492,1.3403072470881638,False,172,0.6318770030684021,-99.8354406104236,0,-1.0
2022-04-01 00:00:00+00:00,2022-05-31 00:00:00+00:00,86401,0.2727119987828779,100.0,0.002727119987828779,1.0,False,162,0.4438745695482717,-99.74826653575668,0,-1.0
2022-05-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,86401,0.09121640456568783,100.0,0.0009121640456568783,1.0,False,155,0.4443774124567035,-99.9555497610188,0,-1.0
2022-05-31 00:00:00+00:00,2022-07-30 00:00:00+00:00,86401,0.19602206612235445,100.0,0.0019602206612235446,1.0,False,169,0.210720244106404,-99.80397793387765,0,-1.0
2022-06-30 00:00:00+00:00,2022-08-29 00:00:00+00:00,86401,0.5367033772619945,251.72351657226565,0.005367033772619945,2.5172351657226564,False,175,0.7369903997011314,-99.82296850778187,0,-1.0
2022-07-30 00:00:00+00:00,2022-09-28 00:00:00+00:00,86401,0.20681869204041692,100.0,0.002068186920404169,1.0,False,178,0.3570230601537409,-99.79318130795957,0,-1.0
2022-08-29 00:00:00+00:00,2022-10-28 00:00:00+00:00,86401,0.04685542473773772,148.94754089689238,0.0004685542473773772,1.4894754089689237,False,178,0.48392040773284467,-99.96854233077256,0,-1.0
2022-09-28 00:00:00+00:00,2022-11-27 00:00:00+00:00,86401,0.0857769424945465,100.0,0.000857769424945465,1.0,False,168,0.06416231962972213,-99.91422305750545,0,-1.0
2022-10-28 00:00:00+00:00,2022-12-27 00:00:00+00:00,86401,0.5148402752567578,133.07819489725773,0.0051484027525675775,1.3307819489725774,False,146,0.6214953928811391,-99.61312950205385,0,-1.0
2022-11-27 00:00:00+00:00,2023-01-26 00:00:00+00:00,86401,8.377409460128916,100.0,0.08377409460128916,1.0,False,121,0.2968676475886505,-96.18403292512974,0,-1.0
2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,86401,31.38966438514506,195.66550333445537,0.3138966438514506,1.9566550333445536,False,141,0.838617929732455,-91.83824408748853,0,-1.0
2023-01-26 00:00:00+00:00,2023-03-27 00:00:00+00:00,86401,0.5258256532321703,100.0,0.005258256532321703,1.0,False,166,0.5759093776785035,-99.47417434676782,0,-1.0
2023-02-25 00:00:00+00:00,2023-04-26 00:00:00+00:00,86401,0.28261389565414635,100.0,0.0028261389565414634,1.0,False,177,0.2697359886230709,-99.86968668005889,0,-1.0
2023-03-27 00:00:00+00:00,2023-05-26 00:00:00+00:00,86401,0.7603147488913141,100.0,0.007603147488913141,1.0,False,171,0.40266840811260163,-99.36741752015251,0,-1.0
2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,86401,1.241212040535612,100.0,0.012412120405356119,1.0,False,151,0.18301487811538908,-99.18833610046505,0,-1.0
2023-05-26 00:00:00+00:00,2023-07-25 00:00:00+00:00,86401,4.088042207790728,100.0,0.040880422077907284,1.0,False,144,0.5699354470183489,-95.91195779220926,0,-1.0
