strategy,total_return_%,final_equity,win_rate_%,trades,avg_win_%,avg_loss_%,profit_factor,max_dd_%,total_fees,avg_bars_held,liquidations
vwap_mean_reversion,-10065.6,-49828.01,14.58,100596,0.482,-0.1057,0.369,-10055.78,40238.4,22.71,0
bollinger_reentry,-1772.98,-8364.91,21.06,18330,0.3502,-0.1146,0.37,-1773.14,7332.0,9.57,0
rsi_reversion,-2306.02,-11030.11,62.6,23143,0.1,-0.2199,0.112,-2306.02,9257.2,15.63,0
ema_pullback,-18514.0,-92070.02,24.73,278640,0.1969,-0.0504,0.179,-18512.16,74578.8,5.81,0
sfp,-17223.89,-85619.46,23.32,172710,0.1987,-0.0862,0.217,-17223.89,69084.0,5.92,0
